tag,avg_throughput_pkts,avg_lat_ns,avg_timeout_pkts,timeout_rate
GA_real,3352051.0,152869.0,2700.0,0.0008055958754158734
GA_predict,3163408.0,171633.0,103.0,3.262150864593139e-05
SGD_predict,3259690,624.2666666666667,107538,0.00019151105370960632
GA_sim,3344590,143960,11,3.31384E-06
