tag,episode,step,reward,throughput,normalized_throughput,ip4_udp_ratio,host_packet_ratio,timeout_rate,ip4-input,ip6-input,nat44-ed-in2out,nat44-ed-in2out-slowpath,arp-input,ip4-receive,ip4-mfib-forward-lookup,loop0-output
_fixed_all_128,4194,20,0.6190111428571429,4333078,0.6190111428571429,0.27789322047745274,0.026715420308612032,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,21,0.6252291428571428,4376604,0.6252291428571428,0.2968801838137515,0.020693898739753473,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,22,0.6247037142857143,4372926,0.6247037142857143,0.2968598142296485,0.020732799960484126,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,23,0.6254977142857143,4378484,0.6254977142857143,0.29687855431240584,0.020701000620306022,0,128,128,128,128,128,128,128,128
_fixed_all_128,4194,24,0.6255085714285714,4378560,0.6255085714285714,0.2967891270189286,0.02073809654315574,0,128,128,128,128,128,128,128,128
_fixed_all_256,4202,1,0.6291165714285715,4403816,0.6291165714285715,0.20476831911233348,0.049289979417850335,0,256,256,256,256,256,256,256,256
_fixed_all_256,4202,2,0.6267092857142857,4386965,0.6267092857142857,0.204753856025749,0.04932772429230687,0,256,256,256,256,256,256,256,256
_fixed_all_256,4202,3,0.6271331428571428,4389932,0.6271331428571428,0.2047348341614403,0.04931033100284925,0,256,256,256,256,256,256,256,256
_fixed_all_256,4202,4,0.6274938571428571,4392457,0.6274938571428571,0.2047168589242877,0.04933298151808885,0,256,256,256,256,256,256,256,256
_fixed_all_256,4202,5,0.6279348571428571,4395544,0.6279348571428571,0.20474234815986372,0.04929264728097364,0,256,256,256,256,256,256,256,256
_fixed_all_256,4202,6,0.6316286448832035,4430069,0.632867,0.22611182805504834,0.040698688891753154,0.00002476710233592881,256,256,256,256,256,256,256,256
_fixed_all_256,4202,7,0.6319841481437316,4433171,0.6333101428571428,0.22609865489059636,0.040669759862635574,0.000026519894268224818,256,256,256,256,256,256,256,256
_fixed_all_256,4202,8,0.6328356824051654,4437574,0.6339391428571428,0.22609155362817612,0.04070016635215548,0.000022069209039548023,256,256,256,256,256,256,256,256
_fixed_all_256,4202,9,0.63351279716854,4440962,0.6344231428571429,0.2260681356877181,0.0407377950993501,0.000018206913772056375,256,256,256,256,256,256,256,256
_fixed_all_256,4202,10,0.6324740369408851,4435980,0.6337114285714286,0.22608735837402333,0.04070104013092935,0.00002474783261087029,256,256,256,256,256,256,256,256
_fixed_all_256,4202,11,0.5068032564305501,4447164,0.6353091428571429,0.25364636878693925,0.03000429037471971,0.002570117728531856,256,256,256,256,256,256,256,256
_fixed_all_256,4202,12,0.5096299741092148,4448550,0.6355071428571428,0.25358285283968934,0.03002438996976543,0.002517543374958559,256,256,256,256,256,256,256,256
_fixed_all_256,4202,13,0.4971619799298178,4426847,0.6324067142857143,0.25358567847499586,0.030024981663021106,0.0027048946871179283,256,256,256,256,256,256,256,256
_fixed_all_256,4202,14,0.5058322213715047,4446519,0.635217,0.2536269382858816,0.030008867610820958,0.002587695572569907,256,256,256,256,256,256,256,256
_fixed_all_256,4202,15,0.5061658079753727,4451842,0.6359774285714286,0.2535820004393687,0.03002824448846118,0.002596232411921117,256,256,256,256,256,256,256,256
_fixed_all_256,4202,16,0.3990983505619394,4450666,0.6358094285714285,0.2778797600179389,0.02669959956554817,0.004734221560189783,256,256,256,256,256,256,256,256
_fixed_all_256,4202,17,0.398264039891557,4456401,0.6366287142857143,0.277948730376822,0.026713035922934225,0.004767293487883147,256,256,256,256,256,256,256,256
_fixed_all_256,4202,18,0.3976871633724326,4449848,0.6356925714285714,0.277922077338372,0.026693046593951074,0.004760108161122776,256,256,256,256,256,256,256,256
_fixed_all_256,4202,19,0.41153722873105425,4456074,0.636582,0.2779258154150941,0.026696818769167657,0.004500895425378914,256,256,256,256,256,256,256,256
_fixed_all_256,4202,20,0.4015614218870843,4457869,0.6368384285714286,0.27786841650124755,0.026739457799230978,0.004705540133686886,256,256,256,256,256,256,256,256
_fixed_all_256,4202,21,0.19601415571945885,4485890,0.6408414285714286,0.296821366551565,0.02069110031677103,0.008896545457039395,256,256,256,256,256,256,256,256
_fixed_all_256,4202,22,0.19130149506308275,4477417,0.639631,0.29683297311820633,0.02072601234149064,0.008966590098738344,256,256,256,256,256,256,256,256
_fixed_all_256,4202,23,0.20012216371431713,4485541,0.6407915714285715,0.29685270962855986,0.020746884266580105,0.008813388154285087,256,256,256,256,256,256,256,256
_fixed_all_256,4202,24,0.20001359640931315,4488642,0.6412345714285714,0.29685036142334364,0.02075015115930386,0.008824419500385166,256,256,256,256,256,256,256,256
_train_checkpoint_5000_steps,4224,1,0.5898037142857143,4128626.0000000005,0.5898037142857143,0.2047107197406595,0.04927983304857354,0,112,112,32,160,80,80,80,224
_train_checkpoint_5000_steps,4224,2,0.6015565714285714,4210896,0.6015565714285714,0.204711538826891,0.04936312841732496,0,224,48,48,160,192,80,80,144
_train_checkpoint_5000_steps,4224,3,0.5627708960973953,3940764.9999999995,0.5629664285714285,0.20473943510968048,0.04934930146811596,0.000003910649480665749,224,96,208,160,160,240,80,224
_train_checkpoint_5000_steps,4224,4,0.6139165714285715,4297416,0.6139165714285715,0.20475816164876753,0.04928519836106163,0,208,96,208,160,192,80,80,224
_train_checkpoint_5000_steps,4224,5,0.606427,4244989,0.606427,0.20476119019389685,0.04929412066792164,0,224,48,48,160,192,240,80,224
_train_checkpoint_5000_steps,4224,6,0.6199348571428571,4339544,0.6199348571428571,0.22614011979138823,0.04073377294941588,0,208,96,208,160,160,80,80,224
_train_checkpoint_5000_steps,4224,7,0.6083124285714285,4258187,0.6083124285714285,0.22607109551553278,0.040723904328297464,0,224,48,48,160,192,80,80,224
_train_checkpoint_5000_steps,4224,8,0.621452,4350164,0.621452,0.2260677988232168,0.04070720092391919,0,208,96,208,160,160,240,80,224
_train_checkpoint_5000_steps,4224,9,0.6195721428571429,4337005,0.6195721428571429,0.22607075620157227,0.04067092382877124,0,224,96,208,160,192,80,80,224
_train_checkpoint_5000_steps,4224,10,0.6109697142857143,4276788,0.6109697142857143,0.22611782487231072,0.0407181744804746,0,224,48,48,160,192,240,80,144
_train_checkpoint_5000_steps,4224,11,0.617546891848768,4349648,0.6213782857142857,0.253579370100753,0.030053926202763995,0.00007662787731035264,208,96,208,160,160,80,80,224
_train_checkpoint_5000_steps,4224,12,0.6068964561163189,4272599,0.6103712857142857,0.25359342170889426,0.030001645368545,0.00006949659195933456,224,48,48,160,192,80,80,224
_train_checkpoint_5000_steps,4224,13,0.620673457573954,4370577,0.6243681428571428,0.253617314144105,0.030035851101582238,0.0000738937056637766,208,96,208,160,160,240,80,224
_train_checkpoint_5000_steps,4224,14,0.6157756039100984,4342841,0.6204058571428571,0.2536238374833433,0.03003310505726551,0.00009260506465517241,224,96,208,160,192,80,80,224
_train_checkpoint_5000_steps,4224,15,0.6129532857142858,4290673,0.6129532857142858,0.2535951819213443,0.03002675804005572,0,224,48,48,160,192,240,80,144
_train_checkpoint_5000_steps,4224,16,0.5511768725755526,4376869,0.625267,0.27792195745406134,0.02671772904329556,0.001481802548488949,208,96,208,160,160,80,80,224
_train_checkpoint_5000_steps,4224,17,0.5322702140311109,4291505,0.6130721428571428,0.2779334988541316,0.026717433627596845,0.0016160385765206394,224,48,48,160,192,80,80,224
_train_checkpoint_5000_steps,4224,18,0.5573416834958775,4390945,0.6272778571428571,0.27793925908887496,0.02670905693421348,0.0013987234729395913,208,96,208,160,160,240,80,224
_train_checkpoint_5000_steps,4224,19,0.5404299172745866,4361263,0.6230375714285714,0.2779116966805258,0.02669020419085022,0.0016521530830796978,224,96,208,160,192,80,80,224
_train_checkpoint_5000_steps,4224,20,0.615042,4305294,0.615042,0.27793665194525624,0.026716642347769978,0,224,48,48,160,192,240,80,144
_train_checkpoint_5000_steps,4224,21,0.3687879928363555,4406269,0.629467,0.29680984070650246,0.020728648205545326,0.00521358014327289,208,96,208,160,160,80,80,224
_train_checkpoint_5000_steps,4224,22,0.3452969858661572,4310793,0.6158275714285715,0.2968159222676663,0.02071451818725696,0.005410611711248285,224,48,48,160,192,80,80,224
_train_checkpoint_5000_steps,4224,23,0.3753569376662472,4417845,0.6311207142857143,0.29680126849176464,0.02076012173356014,0.005115275532389341,208,96,208,160,160,240,80,224
_train_checkpoint_5000_steps,4224,24,0.36152095238095233,4395230,0.62789,0.2968210992371275,0.020719052245274993,0.005327380952380952,224,96,208,160,192,80,80,224
_train_checkpoint_30000_steps,4234,1,0.6189781428571428,4332847,0.6189781428571428,0.2047459787986975,0.04935230807826817,0,160,176,224,128,176,160,176,192
_train_checkpoint_30000_steps,4234,2,0.616256,4313792,0.616256,0.20471594365235968,0.049300476239929975,0,224,176,112,128,176,160,176,128
_train_checkpoint_30000_steps,4234,3,0.619523,4336661,0.619523,0.20478474107152947,0.049335652475487476,0,224,128,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,4,0.6218041428571428,4352629,0.6218041428571428,0.20472592541197515,0.04930698205613205,0,224,176,208,128,208,160,176,128
_train_checkpoint_30000_steps,4234,5,0.6203054285714286,4342138,0.6203054285714286,0.2047491351034905,0.04929391926281477,0,224,176,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,6,0.627272,4390904,0.627272,0.22607098674897014,0.04071826667128227,0,224,128,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,7,0.6270365714285714,4389256,0.6270365714285714,0.22608387389571263,0.04069664653873003,0,224,176,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,8,0.6274704285714285,4392293,0.6274704285714285,0.22615089658180818,0.04075183508932578,0,224,176,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,9,0.6266472857142857,4386531,0.6266472857142857,0.22611102030283156,0.04067815775153533,0,224,128,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,10,0.6270131428571428,4389092,0.6270131428571428,0.22611761156977342,0.04067561126538245,0,224,176,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,11,0.6298274285714286,4408792,0.6298274285714286,0.25359486226612643,0.030039974668798167,0,224,176,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,12,0.629702,4407914,0.629702,0.25358071868008314,0.03002826280186047,0,224,128,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,13,0.6295954285714286,4407168,0.6295954285714286,0.2535605631552961,0.030027219293659785,0,224,176,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,14,0.6302128571428571,4411490,0.6302128571428571,0.25356693543451303,0.030038150375496713,0,224,176,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,15,0.629173,4404211,0.629173,0.25357004920972226,0.030025582334724653,0,224,128,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,16,0.6318882857142857,4423218,0.6318882857142857,0.2779295526469643,0.02670680034309862,0,224,176,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,17,0.6316,4421200,0.6316,0.27795417533701255,0.02672328779516873,0,224,176,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,18,0.6327251428571429,4429076,0.6327251428571429,0.2779430743568184,0.026717762350431558,0,224,128,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,19,0.6316,4421200,0.6316,0.2779268072016647,0.026752239211073916,0,224,176,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,20,0.6313482857142857,4419438,0.6313482857142857,0.2779142958901109,0.026684614650098044,0,224,176,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,21,0.6376618571428572,4463633,0.6376618571428572,0.2968429528144451,0.020719445348665537,0,224,128,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,22,0.6339557972036272,4448141,0.6354487142857143,0.2968251231244693,0.020734054968131632,0.00002985834164174144,224,176,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,23,0.6377578571428572,4464305,0.6377578571428572,0.2968538215914907,0.020718566495792737,0,224,128,208,112,208,160,176,128
_train_checkpoint_30000_steps,4234,24,0.6363607142857143,4454525,0.6363607142857143,0.2968576896526566,0.020753278969138124,0,224,176,208,112,208,160,176,128
_train_checkpoint_100000_steps,4246,1,0.6192158571428571,4334511,0.6192158571428571,0.2047688885782041,0.04929091193908609,0,224,192,224,256,176,224,176,192
_train_checkpoint_100000_steps,4246,2,0.6195641428571429,4336949,0.6195641428571429,0.20474347288842917,0.04932799532574628,0,224,256,224,112,176,224,176,128
_train_checkpoint_100000_steps,4246,3,0.6200615714285714,4340431,0.6200615714285714,0.20478841847733553,0.04931307513009653,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,4,0.619553,4336871,0.619553,0.20479073507143744,0.049304440920654544,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,5,0.6194504285714286,4336153,0.6194504285714286,0.20474854093017475,0.0492761671463161,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,6,0.6273675714285715,4391573,0.6273675714285715,0.22610668204763987,0.04074371529290302,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,7,0.6270385714285714,4389270,0.6270385714285714,0.2261845363807649,0.0406801130939769,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,8,0.6264574285714286,4385202,0.6264574285714286,0.22609243542258714,0.0407210431811351,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,9,0.6263545714285714,4384482,0.6263545714285714,0.2261163348372738,0.04072043174085331,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,10,0.6270981428571428,4389687,0.6270981428571428,0.22610108647837535,0.04073342814647149,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,11,0.6268772857142857,4388141,0.6268772857142857,0.25360010081717976,0.030042562442729164,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,12,0.5992984285714286,4195089,0.5992984285714286,0.25362179443630395,0.030062294268369514,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,13,0.6266247142857143,4386373,0.6266247142857143,0.25360793530326764,0.030033697544645657,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,14,0.6277017142857143,4393912,0.6277017142857143,0.25356129116832565,0.03002722858354924,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,15,0.628064,4396448,0.628064,0.2535976770338237,0.030034700740233934,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,16,0.6287551428571428,4401286,0.6287551428571428,0.2779399021104286,0.026651755873169796,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,17,0.6284215714285715,4398951,0.6284215714285715,0.2779171670700583,0.026711140906093292,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,18,0.6286115714285714,4400281,0.6286115714285714,0.2779211145833641,0.026727838517585582,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,19,0.6295391428571429,4406774,0.6295391428571429,0.277886272361596,0.02672226894322241,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,20,0.6300905714285714,4410634,0.6300905714285714,0.2778557459086381,0.02673946648032913,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,21,0.6341454285714285,4439018,0.6341454285714285,0.2968541690977599,0.020730936436842564,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,22,0.6339734285714286,4437814,0.6339734285714286,0.2968211376141497,0.0207584184465595,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,23,0.6344148571428572,4440904,0.6344148571428572,0.29685802710439135,0.02072956317002124,0,224,256,208,112,240,224,144,128
_train_checkpoint_100000_steps,4246,24,0.6342234285714285,4439564,0.6342234285714285,0.29686744013601335,0.02073334228316114,0,224,256,208,112,240,224,144,128
