tag,avg_throughput_pkts,avg_lat_ns,avg_timeout_pkts,timeout_rate
32,3869170.0,81714.0,4.0,1.1847647779857436e-06
48,3997642.0,95187.0,11.0,2.7262638857139275e-06
64,4061798.0,110336.0,1.0,3.6125205083918175e-07
80,4010455.0,127356.0,12.0,3.22596490841131e-06
96,4152531.0,139148.0,168.0,4.0546574888751717e-05
112,4274420.0,149600.0,1296.0,0.00030380135554304615
128,4161810.0,169224.0,3408.0,0.000818006953224143
144,4060504.0,190824.0,5923.0,0.0014594891707146282
160,4072022.0,206283.0,10847.0,0.0026628765355159478
176,4218086.0,215366.0,17632.0,0.004184241631222408
192,4390727.0,221747.0,27934.0,0.00634939377512519
208,4170212.0,249875.0,57328.0,0.013749790994570776
224,4407277.0,251627.0,63235.0,0.014356014762871117
240,4539701.0,258357.0,75694.0,0.01666347666037619
256,4289427.0,289605.0,109071.0,0.025424513430324786
BF,4569432,52593,241167, 0.011509746
BF_notimeout,4170258,0,105879,0
