tag,episode,step,reward,throughput,normalized_throughput,timeout_rate,ip4-input,ip6-input,nat44-ed-in2out,nat44-ed-in2out-slowpath,arp-input,ip4-receive,ip4-mfib-forward-lookup,loop0-output,arp_loss_rate,icmp_loss_rate,igmpv2_loss_rate,host_packet_loss_rate
_fixed_all_32,4192,1,0.5821172041703369,4871667,0.6959524285714286,0.0022767044880218335,32,32,32,32,32,32,32,32,0,0.32367528060558604,0.3105157867269723,0.33141461712890286
_fixed_all_32,4192,2,0.5743727697594,4822406,0.6889151428571428,0.0022908474619548567,32,32,32,32,32,32,32,32,0,0.32397200349956257,0.3172268907563025,0.3258850332982825
_fixed_all_32,4192,3,0.5662977084834138,4789317,0.6841881428571429,0.002357808687474583,32,32,32,32,32,32,32,32,0,0.3437025118441048,0.32852435657672097,0.3336294190797655
_fixed_all_32,4192,4,0.3049981717815822,3424842,0.48926314285714284,0.0036852994215112126,32,32,32,32,32,32,32,32,0,0.5461646817774363,0.5253891298800715,0.5431940528069725
_fixed_all_32,4192,5,0.6046233846570753,5005280,0.71504,0.0022083323068584943,32,32,32,32,32,32,32,32,0,0.31956651591432716,0.3099060631938514,0.312861517522967
_fixed_all_32,4192,6,0.5138614058359794,4488778,0.641254,0.0025478518832804118,32,32,32,32,32,32,32,32,0.3464634030868289,0,0.36288951841359773,0.372690230266275
_fixed_all_32,4192,7,0.561367030120482,4736704,0.676672,0.0023060993975903615,32,32,32,32,32,32,32,32,0.3275970242896836,0,0.31939095387371247,0.3303579398375435
_fixed_all_32,4192,8,0.44937129858618724,4143784,0.5919691428571429,0.0028519568854191123,32,32,32,32,32,32,32,32,0.4033229491173416,0,0.40816538541450237,0.4178060745224924
_fixed_all_32,4192,9,0.5859870405267471,4884771,0.6978244285714286,0.0022367477608936297,32,32,32,32,32,32,32,32,0.308981408745745,0,0.317907444668008,0.32802659202239326
_fixed_all_32,4192,10,0.5182694931329079,4508493,0.6440704285714286,0.0025160187087704122,32,32,32,32,32,32,32,32,0.34392031573012594,0,0.3611842105263158,0.3602327108942479
_fixed_all_32,4192,11,0.34925251568680943,3597860,0.51398,0.0032945496862638113,32,32,32,32,32,32,32,32,0.4610436025732666,0.4770423375074538,0,0.4765381853004549
_fixed_all_32,4192,12,0.2711742024576866,3203510,0.4576442857142857,0.0037294016651319827,32,32,32,32,32,32,32,32,0.5124950935496533,0.5292199321680147,0,0.5198324388008901
_fixed_all_32,4192,13,0.2233416447474127,3006559,0.42950842857142857,0.004123335676480318,32,32,32,32,32,32,32,32,0.5668055555555556,0.5741487143849896,0,0.58264865617602
_fixed_all_32,4192,14,0.2728925308093194,3206603,0.45808614285714283,0.0037038722409564683,32,32,32,32,32,32,32,32,0.5185185185185185,0.5326793053161872,0,0.5212498345028466
_fixed_all_32,4192,15,0.24600327184122928,3084192,0.4405988571428571,0.0038919117060325567,32,32,32,32,32,32,32,32,0.5403854038540385,0.5490784982935154,0,0.5496245733788396
_fixed_all_32,4192,16,0.3810002327176731,3713265,0.5304664285714286,0.0029893239170751093,32,32,32,32,32,32,32,32,0.4359952324195471,0.44932553420078786,0.43664647904049403,0
_fixed_all_32,4192,17,0.21001764267821998,2742398,0.3917711428571429,0.0036350700035784576,32,32,32,32,32,32,32,32,0.6559535333978703,0.6558365758754864,0.6178736517719569,0
_fixed_all_32,4192,18,0.3118660814642492,3366148,0.4808782857142857,0.00338024408500073,32,32,32,32,32,32,32,32,0.4891419491525424,0.521177410761854,0.5011968085106383,0
_fixed_all_32,4192,19,0.28696282736530515,3180796,0.45439942857142857,0.003348732024122468,32,32,32,32,32,32,32,32,0.5311063438553478,0.5429795044356073,0.5568321078431373,0
_fixed_all_32,4192,20,0.37040948342949154,3661595,0.523085,0.0030535103314101703,32,32,32,32,32,32,32,32,0.4493975903614458,0.45686630369026016,0.4429570670525808,0
_fixed_all_32,4192,21,0.4618784285714286,3233149,0.4618784285714286,0,32,32,32,32,32,32,32,32,0,0,0,0
_fixed_all_32,4192,22,0.6058347142857143,4240843,0.6058347142857143,0,32,32,32,32,32,32,32,32,0,0,0,0
_fixed_all_32,4192,23,0.40166685714285716,2811668,0.40166685714285716,0,32,32,32,32,32,32,32,32,0,0,0,0
_fixed_all_32,4192,24,0.4390632857142857,3073443,0.4390632857142857,0,32,32,32,32,32,32,32,32,0,0,0,0
_fixed_all_64,4194,1,0.5106976949394835,5160837,0.7372624285714285,0.004531294672638902,64,64,64,64,64,64,64,64,0,0.6399146561628097,0.6403357195754135,0.6403019363308172
_fixed_all_64,4194,2,0.5148460100029779,5190813,0.7415447142857143,0.004533974085654728,64,64,64,64,64,64,64,64,0,0.6467803803150249,0.6331728022202269,0.6408226556761609
